OWL	
1	0
0.982051282	0.009953694
0.964102564	0.01950138
0.946153846	0.028631264
0.928205128	0.037335576
0.91025641	0.045610294
0.892307692	0.053454875
0.874358974	0.06087199
0.856410256	0.067867247
0.838461538	0.074448928
0.820512821	0.080627714
0.802564103	0.086416413
0.784615385	0.091829696
0.766666667	0.096883817
0.748717949	0.101596347
0.730769231	0.1059859
0.712820513	0.110071859
0.694871795	0.113874106
0.676923077	0.117412744
0.658974359	0.120707826
0.641025641	0.123779075
0.623076923	0.126645614
0.605128205	0.129325681
0.587179487	0.131836353
0.569230769	0.134193267
0.551282051	0.136410335
0.533333333	0.138499459
0.515384615	0.140470244
0.497435897	0.142329708
0.479487179	0.144081989
0.461538462	0.145728042
0.443589744	0.147265336
0.425641026	0.148687545
0.407692308	0.149984226
0.38974359	0.15114049
0.371794872	0.152136659
0.353846154	0.152947902
0.335897436	0.15354386
0.317948718	0.153888234
0.3	0.153938339
0.295254237	0.153896312
0.290508475	0.153829286
0.285762712	0.153736225
0.281016949	0.153616052
0.276271186	0.153467654
0.271525424	0.153289877
0.266779661	0.153081526
0.262033898	0.152841364
0.257288136	0.152568114
0.252542373	0.152260453
0.24779661	0.151917013
0.243050847	0.151536382
0.238305085	0.151117098
0.233559322	0.150657651
0.228813559	0.150156482
0.224067797	0.14961198
0.219322034	0.149022477
0.214576271	0.148386255
0.209830508	0.147701534
0.205084746	0.146966476
0.200338983	0.146179181
0.19559322	0.145337685
0.190847458	0.144439955
0.186101695	0.143483888
0.181355932	0.14246731
0.176610169	0.141387963
0.171864407	0.140243514
0.167118644	0.139031537
0.162372881	0.13774952
0.157627119	0.136394847
0.152881356	0.134964804
0.148135593	0.133456559
0.143389831	0.131867162
0.138644068	0.130193534
0.133898305	0.128432452
0.129152542	0.126580537
0.12440678	0.124634243
0.119661017	0.122589834
0.114915254	0.120443364
0.110169492	0.118190656
0.105423729	0.115827268
0.100677966	0.113348457
0.095932203	0.110749142
0.091186441	0.108023842
0.086440678	0.105166619
0.081694915	0.10217099
0.076949153	0.099029827
0.07220339	0.095735224
0.067457627	0.092278324
0.062711864	0.08864909
0.057966102	0.084836
0.053220339	0.080825623
0.048474576	0.07660202
0.043728814	0.072145875
0.038983051	0.067433191
0.034237288	0.062433232
0.029491525	0.057105128
0.024745763	0.051391888
0.02	0.045208853
0.01875	0.043486757
0.0175	0.041719683
0.01625	0.039903606
0.015	0.038033721
0.01375	0.03610421
0.0125	0.034107908
0.01125	0.032035823
0.01	0.029876396
0.00875	0.027614332
0.0075	0.025228649
0.00625	0.022689162
0.005	0.019949577
0.00375	0.016932001
0.0025	0.013484614
0.002222222	0.012630867
0.001944444	0.011732542
0.001666667	0.010779775
0.001388889	0.009758363
0.001111111	0.00864651
0.000833333	0.007407525
0.000555556	0.005969866
0.000277778	0.004148834
0	0
0.000277778	-0.003796888
0.000555556	-0.005266343
0.000833333	-0.006352794
0.001111111	-0.00724094
0.001388889	-0.008002321
0.001666667	-0.00867363
0.001944444	-0.009276662
0.002222222	-0.00982562
0.0025	-0.010330368
0.00375	-0.012211797
0.005	-0.013670829
0.00625	-0.014859263
0.0075	-0.015854968
0.00875	-0.016704217
0.01	-0.017437172
0.01125	-0.018074796
0.0125	-0.018632358
0.01375	-0.019121398
0.015	-0.019550886
0.01625	-0.019927964
0.0175	-0.020258429
0.01875	-0.020547064
0.02	-0.020797873
0.024745763	-0.021459746
0.029491525	-0.021753426
0.034237288	-0.021762404
0.038983051	-0.02154252
0.043728814	-0.021133496
0.048474576	-0.020564929
0.053220339	-0.019859693
0.057966102	-0.019035983
0.062711864	-0.01810863
0.067457627	-0.017089967
0.07220339	-0.015990425
0.076949153	-0.014818962
0.081694915	-0.013583364
0.086440678	-0.012290475
0.091186441	-0.010946373
0.095932203	-0.009556496
0.100677966	-0.008125751
0.105423729	-0.006658593
0.110169492	-0.005159092
0.114915254	-0.003630985
0.119661017	-0.002077717
0.12440678	-0.000502481
0.129152542	0.001091753
0.133898305	0.002702218
0.138644068	0.004326324
0.143389831	0.005961641
0.148135593	0.007605885
0.152881356	0.009256905
0.157627119	0.010912671
0.162372881	0.012571263
0.167118644	0.014230866
0.171864407	0.015889759
0.176610169	0.017546307
