owl 6% camber	
1	0
0.982051282	0.006175017
0.964102564	0.012138004
0.946153846	0.017868054
0.928205128	0.023348731
0.91025641	0.028567806
0.892307692	0.033516985
0.874358974	0.038191642
0.856410256	0.042590543
0.838461538	0.046715584
0.820512821	0.050571513
0.802564103	0.054165663
0.784615385	0.057507682
0.766666667	0.060609259
0.748717949	0.063483854
0.730769231	0.066146424
0.712820513	0.068613153
0.694871795	0.070901175
0.676923077	0.073028304
0.658974359	0.075012756
0.641025641	0.076872875
0.623076923	0.078626858
0.605128205	0.080292473
0.587179487	0.081886782
0.569230769	0.083425862
0.551282051	0.08492452
0.533333333	0.086396008
0.515384615	0.087851738
0.497435897	0.089300988
0.479487179	0.09075061
0.461538462	0.09220473
0.443589744	0.093664445
0.425641026	0.095127509
0.407692308	0.096588015
0.38974359	0.098036065
0.371794872	0.099457427
0.353846154	0.100833172
0.335897436	0.102139299
0.317948718	0.103346319
0.3	0.104418814
0.295254237	0.104674779
0.290508475	0.1049176
0.285762712	0.105146389
0.281016949	0.105360223
0.276271186	0.105558142
0.271525424	0.105739149
0.266779661	0.10590221
0.262033898	0.106046248
0.257288136	0.106170151
0.252542373	0.106272759
0.24779661	0.106352876
0.243050847	0.106409256
0.238305085	0.106440613
0.233559322	0.106445611
0.228813559	0.106422867
0.224067797	0.106370949
0.219322034	0.106288373
0.214576271	0.106173601
0.209830508	0.106025041
0.205084746	0.105841043
0.200338983	0.105619897
0.19559322	0.105359831
0.190847458	0.105059008
0.186101695	0.104715523
0.181355932	0.104327397
0.176610169	0.103892578
0.171864407	0.103408933
0.167118644	0.102874245
0.162372881	0.102286207
0.157627119	0.101642417
0.152881356	0.10094037
0.148135593	0.100177451
0.143389831	0.099350927
0.138644068	0.098457937
0.133898305	0.09749548
0.129152542	0.096460402
0.12440678	0.095349381
0.119661017	0.094158909
0.114915254	0.092885273
0.110169492	0.091524525
0.105423729	0.09007246
0.100677966	0.088524573
0.095932203	0.086876019
0.091186441	0.085121562
0.086440678	0.083255505
0.081694915	0.081271613
0.076949153	0.079163005
0.07220339	0.076922026
0.067457627	0.07454007
0.062711864	0.072007357
0.057966102	0.069312621
0.053220339	0.066442689
0.048474576	0.063381886
0.043728814	0.060111159
0.038983051	0.056606776
0.034237288	0.052838269
0.029491525	0.048765041
0.024745763	0.04433037
0.02	0.039449874
0.01875	0.03807488
0.0175	0.036656596
0.01625	0.035191001
0.015	0.033673296
0.01375	0.032097666
0.0125	0.030456954
0.01125	0.028742172
0.01	0.026941765
0.00875	0.025040445
0.0075	0.023017233
0.00625	0.020841952
0.005	0.01846831
0.00375	0.015818422
0.0025	0.012740472
0.002222222	0.01196906
0.001944444	0.011153157
0.001666667	0.010282898
0.001388889	0.009344082
0.001111111	0.008314912
0.000833333	0.007158696
0.000555556	0.005803893
0.000277778	0.004065804
0	0
0.000277778	-0.003879918
0.000555556	-0.005432316
0.000833333	-0.006601624
0.001111111	-0.007572538
0.001388889	-0.008416602
0.001666667	-0.009170506
0.001944444	-0.009856047
0.002222222	-0.010487427
0.0025	-0.01107451
0.00375	-0.013325376
0.005	-0.015152096
0.00625	-0.016706474
0.0075	-0.018066384
0.00875	-0.019278105
0.01	-0.020371804
0.01125	-0.021368447
0.0125	-0.022283312
0.01375	-0.023127941
0.015	-0.023911311
0.01625	-0.024640569
0.0175	-0.025321516
0.01875	-0.02595894
0.02	-0.026556852
0.024745763	-0.028521264
0.029491525	-0.030093513
0.034237288	-0.031357367
0.038983051	-0.032368936
0.043728814	-0.033168212
0.048474576	-0.033785063
0.053220339	-0.034242627
0.057966102	-0.034559363
0.062711864	-0.034750364
0.067457627	-0.034828221
0.07220339	-0.034803624
0.076949153	-0.034685784
0.081694915	-0.034482741
0.086440678	-0.034201589
0.091186441	-0.033848653
0.095932203	-0.033429618
0.100677966	-0.032949635
0.105423729	-0.032413401
0.110169492	-0.031825224
0.114915254	-0.031189077
0.119661017	-0.030508642
0.12440678	-0.029787344
0.129152542	-0.029028382
0.133898305	-0.028234753
0.138644068	-0.027409273
0.143389831	-0.026554594
0.148135593	-0.025673223
0.152881356	-0.024767529
0.157627119	-0.02383976
0.162372881	-0.022892049
0.167118644	-0.021926426
0.171864407	-0.020944822
0.176610169	-0.019949079
0.181355932	-0.018940951
0.186101695	-0.017922116
0.190847458	-0.016894176
0.19559322	-0.015858662
0.200338983	-0.014817039
0.205084746	-0.013770708
0.209830508	-0.012721011
0.214576271	-0.01166923
0.219322034	-0.010616594
0.224067797	-0.009564281
0.228813559	-0.008513416
0.233559322	-0.007465077
0.238305085	-0.006420295
0.243050847	-0.005380057
0.24779661	-0.004345307
0.252542373	-0.003316947
0.257288136	-0.002295838
0.262033898	-0.001282804
0.266779661	-0.00027863
0.271525424	0.000715935
0.276271186	0.001700179
0.281016949	0.002673422
0.285762712	0.003635018
0.290508475	0.004584355
0.295254237	0.005520851
0.3	0.006443954
0.317948718	0.009805343
0.335897436	0.012943627
0.353846154	0.015839656
0.371794872	0.018479192
0.38974359	0.020852464
0.407692308	0.022953755
0.425641026	0.024781027
0.443589744	0.026335555
0.461538462	0.027621588
0.479487179	0.028646017
0.497435897	0.029418056
0.515384615	0.02994893
0.533333333	0.030251569
0.551282051	0.030340315
0.569230769	0.030230619
0.587179487	0.029938758
0.605128205	0.029481542
0.623076923	0.028876033
0.641025641	0.02813926
0.658974359	0.02728794
0.676923077	0.026338195
0.694871795	0.025305281
0.712820513	0.024203304
0.730769231	0.023044949
0.748717949	0.021841205
0.766666667	0.020601088
0.784615385	0.019331371
0.802564103	0.01803631
0.820512821	0.016717372
0.838461538	0.015372961
0.856410256	0.013998152
0.874358974	0.012584413
0.892307692	0.011119341
0.91025641	0.009586385
0.928205128	0.007964583
0.946153846	0.006228286
0.964102564	0.00434689
0.982051282	0.002284568
1	0
	
