xflr5 v6.48

Plane name :, Main wing_0012
Polar name :, v=15 m/s-0.5kg-x0.0m-Inviscid
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.892077,   0.022701,   0.000000,   0.022701,   0.000000,  -0.000000,   0.212190,   0.000000,   0.000000,   15.0000,    0.0194
   -9.000,     0.000,  -0.804325,   0.018477,   0.000000,   0.018477,   0.000000,  -0.000000,   0.191715,  -0.000000,  -0.000000,   15.0000,    0.0194
   -8.000,     0.000,  -0.716117,   0.014663,   0.000000,   0.014663,   0.000000,  -0.000000,   0.171006,   0.000000,   0.000000,   15.0000,    0.0194
   -7.000,     0.000,  -0.627501,   0.011269,   0.000000,   0.011269,   0.000000,  -0.000000,   0.150089,   0.000000,   0.000000,   15.0000,    0.0194
   -6.000,     0.000,  -0.538527,   0.008307,   0.000000,   0.008307,   0.000000,  -0.000000,   0.128989,   0.000000,   0.000000,   15.0000,    0.0194
   -5.000,     0.000,  -0.449245,   0.005785,   0.000000,   0.005785,   0.000000,  -0.000000,   0.107732,  -0.000000,  -0.000000,   15.0000,    0.0194
   -4.000,     0.000,  -0.359706,   0.003711,   0.000000,   0.003711,   0.000000,  -0.000000,   0.086343,   0.000000,   0.000000,   15.0000,    0.0194
   -3.000,     0.000,  -0.269961,   0.002091,   0.000000,   0.002091,   0.000000,  -0.000000,   0.064850,  -0.000000,  -0.000000,   15.0000,    0.0194
   -2.000,     0.000,  -0.180060,   0.000931,   0.000000,   0.000931,   0.000000,  -0.000000,   0.043277,  -0.000000,  -0.000000,   15.0000,    0.0194
   -1.000,     0.000,  -0.090056,   0.000233,   0.000000,   0.000233,   0.000000,  -0.000000,   0.021652,   0.000000,   0.000000,   15.0000,    0.0194
    0.000,     0.000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   15.0000,    0.0000
    1.000,     0.000,   0.090056,   0.000233,   0.000000,   0.000233,   0.000000,   0.000000,  -0.021652,   0.000000,   0.000000,   15.0000,    0.0194
    2.000,     0.000,   0.180060,   0.000931,   0.000000,   0.000931,   0.000000,   0.000000,  -0.043277,  -0.000000,  -0.000000,   15.0000,    0.0194
    3.000,     0.000,   0.269961,   0.002091,   0.000000,   0.002091,   0.000000,   0.000000,  -0.064850,  -0.000000,  -0.000000,   15.0000,    0.0194
    4.000,     0.000,   0.359706,   0.003711,   0.000000,   0.003711,   0.000000,   0.000000,  -0.086343,   0.000000,   0.000000,   15.0000,    0.0194
    5.000,     0.000,   0.449245,   0.005785,   0.000000,   0.005785,   0.000000,   0.000000,  -0.107732,  -0.000000,  -0.000000,   15.0000,    0.0194
    6.000,     0.000,   0.538527,   0.008307,   0.000000,   0.008307,   0.000000,   0.000000,  -0.128989,   0.000000,   0.000000,   15.0000,    0.0194
    7.000,     0.000,   0.627501,   0.011269,   0.000000,   0.011269,   0.000000,   0.000000,  -0.150089,   0.000000,   0.000000,   15.0000,    0.0194
    8.000,     0.000,   0.716117,   0.014663,   0.000000,   0.014663,   0.000000,   0.000000,  -0.171006,   0.000000,   0.000000,   15.0000,    0.0194
    9.000,     0.000,   0.804325,   0.018477,   0.000000,   0.018477,   0.000000,   0.000000,  -0.191715,  -0.000000,  -0.000000,   15.0000,    0.0194
   10.000,     0.000,   0.892077,   0.022701,   0.000000,   0.022701,   0.000000,   0.000000,  -0.212190,   0.000000,   0.000000,   15.0000,    0.0194


