xflr5 v6.48

Plane name :, Main wing_0012
Polar name :, v=15 m/s-0.5kg-x0.0m-Viscous
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.892077,   0.022701,   0.075585,   0.098286,   0.000000,  -0.000000,   0.216120,  -0.000000,   0.000000,   15.0000,    0.0194
   -9.000,     0.000,  -0.804325,   0.018477,   0.029514,   0.047991,   0.000000,  -0.000000,   0.192874,  -0.000000,  -0.000000,   15.0000,    0.0194
   -8.000,     0.000,  -0.716117,   0.014663,   0.023765,   0.038427,   0.000000,  -0.000000,   0.171837,  -0.000000,   0.000000,   15.0000,    0.0194
   -7.000,     0.000,  -0.627501,   0.011269,   0.022622,   0.033891,   0.000000,  -0.000000,   0.150849,  -0.000000,   0.000000,   15.0000,    0.0194
   -6.000,     0.000,  -0.538527,   0.008307,   0.019903,   0.028210,   0.000000,  -0.000000,   0.129558,  -0.000000,   0.000000,   15.0000,    0.0194
   -5.000,     0.000,  -0.449245,   0.005785,   0.019541,   0.025326,   0.000000,  -0.000000,   0.108202,  -0.000000,  -0.000000,   15.0000,    0.0194
   -4.000,     0.000,  -0.359706,   0.003711,   0.019114,   0.022825,   0.000000,  -0.000000,   0.086702,  -0.000000,   0.000000,   15.0000,    0.0194
   -3.000,     0.000,  -0.269961,   0.002091,   0.019160,   0.021251,   0.000000,  -0.000000,   0.065113,  -0.000000,  -0.000000,   15.0000,    0.0194
   -2.000,     0.000,  -0.180060,   0.000931,   0.018984,   0.019914,   0.000000,  -0.000000,   0.043447,  -0.000000,  -0.000000,   15.0000,    0.0194
   -1.000,     0.000,  -0.090056,   0.000233,   0.018277,   0.018510,   0.000000,  -0.000000,   0.021731,  -0.000000,   0.000000,   15.0000,    0.0194
    0.000,     0.000,   0.000000,   0.000000,   0.018371,   0.018371,   0.000000,   0.000000,   0.000000,  -0.000000,   0.000000,   15.0000,    0.0000
    1.000,     0.000,   0.090056,   0.000233,   0.018552,   0.018785,   0.000000,   0.000000,  -0.021733,  -0.000000,   0.000000,   15.0000,    0.0194
    2.000,     0.000,   0.180060,   0.000931,   0.018519,   0.019450,   0.000000,   0.000000,  -0.043440,  -0.000000,  -0.000000,   15.0000,    0.0194
    3.000,     0.000,   0.269961,   0.002091,   0.018131,   0.020222,   0.000000,   0.000000,  -0.065090,   0.000000,  -0.000000,   15.0000,    0.0194
    4.000,     0.000,   0.359706,   0.003711,   0.017415,   0.021126,   0.000000,   0.000000,  -0.086653,   0.000000,   0.000000,   15.0000,    0.0194
    5.000,     0.000,   0.449245,   0.005785,   0.017058,   0.022843,   0.000000,   0.000000,  -0.108111,   0.000000,  -0.000000,   15.0000,    0.0194
    6.000,     0.000,   0.538527,   0.008307,   0.017675,   0.025981,   0.000000,   0.000000,  -0.129458,  -0.000000,   0.000000,   15.0000,    0.0194
    7.000,     0.000,   0.627501,   0.011269,   0.019698,   0.030967,   0.000000,   0.000000,  -0.150695,  -0.000000,   0.000000,   15.0000,    0.0194
    8.000,     0.000,   0.716117,   0.014663,   0.023749,   0.038411,   0.000000,   0.000000,  -0.171836,  -0.000000,   0.000000,   15.0000,    0.0194
    9.000,     0.000,   0.804325,   0.018477,   0.029488,   0.047965,   0.000000,   0.000000,  -0.192872,  -0.000000,  -0.000000,   15.0000,    0.0194
   10.000,     0.000,   0.892077,   0.022701,   0.078185,   0.100886,   0.000000,   0.000000,  -0.216258,  -0.000000,   0.000000,   15.0000,    0.0194


