xflr5 v6.48

Plane name :, Main wing_e210
Polar name :, v=15 m/s-0.5kg-x0.0m-Inviscid
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.449869,   0.005742,   0.000000,   0.005742,   0.000000,  -0.000000,  -0.035836,  -0.000000,  -0.000000,   15.0000,   -0.0063
   -9.000,     0.000,  -0.360198,   0.003687,   0.000000,   0.003687,   0.000000,  -0.000000,  -0.057207,  -0.000000,  -0.000000,   15.0000,   -0.0128
   -8.000,     0.000,  -0.270280,   0.002079,   0.000000,   0.002079,   0.000000,  -0.000000,  -0.078734,  -0.000000,  -0.000000,   15.0000,   -0.0236
   -7.000,     0.000,  -0.180167,   0.000925,   0.000000,   0.000925,   0.000000,  -0.000000,  -0.100389,  -0.000000,  -0.000000,   15.0000,   -0.0452
   -6.000,     0.000,  -0.089910,   0.000232,   0.000000,   0.000232,   0.000000,  -0.000000,  -0.122147,  -0.000000,  -0.000000,   15.0000,   -0.1102
   -5.000,     0.000,   0.000440,   0.000002,   0.000000,   0.000002,   0.000000,  -0.000000,  -0.143980,  -0.000000,  -0.000000,   15.0000,   26.5069
   -4.000,     0.000,   0.090830,   0.000240,   0.000000,   0.000240,   0.000000,  -0.000000,  -0.165862,  -0.000000,  -0.000000,   15.0000,    0.1477
   -3.000,     0.000,   0.181208,   0.000947,   0.000000,   0.000947,   0.000000,  -0.000000,  -0.187767,  -0.000000,  -0.000000,   15.0000,    0.0837
   -2.000,     0.000,   0.271523,   0.002122,   0.000000,   0.002122,   0.000000,  -0.000000,  -0.209667,   0.000000,   0.000000,   15.0000,    0.0623
   -1.000,     0.000,   0.361722,   0.003763,   0.000000,   0.003763,   0.000000,  -0.000000,  -0.231537,  -0.000000,  -0.000000,   15.0000,    0.0516
    0.000,     0.000,   0.451754,   0.005870,   0.000000,   0.005870,   0.000000,  -0.000000,  -0.253349,   0.000000,   0.000000,   15.0000,    0.0451
    1.000,     0.000,   0.541566,   0.008436,   0.000000,   0.008436,   0.000000,  -0.000000,  -0.275077,   0.000000,   0.000000,   15.0000,    0.0408
    2.000,     0.000,   0.631107,   0.011456,   0.000000,   0.011456,   0.000000,  -0.000000,  -0.296694,   0.000000,   0.000000,   15.0000,    0.0378
    3.000,     0.000,   0.720327,   0.014923,   0.000000,   0.014923,   0.000000,  -0.000000,  -0.318174,  -0.000000,  -0.000000,   15.0000,    0.0355
    4.000,     0.000,   0.809175,   0.018829,   0.000000,   0.018829,   0.000000,   0.000000,  -0.339491,  -0.000000,  -0.000000,   15.0000,    0.0337
    5.000,     0.000,   0.897600,   0.023164,   0.000000,   0.023164,   0.000000,   0.000000,  -0.360619,   0.000000,   0.000000,   15.0000,    0.0323
    6.000,     0.000,   0.985553,   0.027916,   0.000000,   0.027916,   0.000000,   0.000000,  -0.381532,   0.000000,   0.000000,   15.0000,    0.0311
    7.000,     0.000,   1.072985,   0.033074,   0.000000,   0.033074,   0.000000,   0.000000,  -0.402205,  -0.000000,  -0.000000,   15.0000,    0.0301
    8.000,     0.000,   1.159849,   0.038624,   0.000000,   0.038624,   0.000000,   0.000000,  -0.422612,  -0.000000,  -0.000000,   15.0000,    0.0293
    9.000,     0.000,   1.246098,   0.044550,   0.000000,   0.044550,   0.000000,   0.000000,  -0.442729,  -0.000000,  -0.000000,   15.0000,    0.0286
   10.000,     0.000,   1.331684,   0.050837,   0.000000,   0.050837,   0.000000,   0.000000,  -0.462532,  -0.000000,  -0.000000,   15.0000,    0.0280


