xflr5 v6.48

Plane name :, Main wing_e210
Polar name :, v=15 m/s-0.5kg-x0.0m-Viscous
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.449869,   0.005742,   0.192025,   0.197767,   0.000000,  -0.000000,  -0.028457,  -0.000000,  -0.000000,   15.0000,   -0.0063
   -9.000,     0.000,  -0.360198,   0.003687,   0.068468,   0.072155,   0.000000,  -0.000000,  -0.054735,  -0.000000,  -0.000000,   15.0000,   -0.0128
   -8.000,     0.000,  -0.270280,   0.002079,   0.043912,   0.045991,   0.000000,  -0.000000,  -0.077290,  -0.000000,  -0.000000,   15.0000,   -0.0236
   -7.000,     0.000,  -0.180167,   0.000925,   0.033505,   0.034431,   0.000000,  -0.000000,  -0.099420,  -0.000000,  -0.000000,   15.0000,   -0.0452
   -6.000,     0.000,  -0.089910,   0.000232,   0.028082,   0.028314,   0.000000,  -0.000000,  -0.121442,  -0.000000,  -0.000000,   15.0000,   -0.1102
   -5.000,     0.000,   0.000440,   0.000002,   0.025846,   0.025848,   0.000000,  -0.000000,  -0.143435,  -0.000000,  -0.000000,   15.0000,   26.5069
   -4.000,     0.000,   0.090830,   0.000240,   0.024869,   0.025110,   0.000000,  -0.000000,  -0.165443,   0.000000,  -0.000000,   15.0000,    0.1477
   -3.000,     0.000,   0.181208,   0.000947,   0.025100,   0.026047,   0.000000,  -0.000000,  -0.187454,   0.000000,  -0.000000,   15.0000,    0.0837
   -2.000,     0.000,   0.271523,   0.002122,   0.025035,   0.027156,   0.000000,  -0.000000,  -0.209465,  -0.000000,   0.000000,   15.0000,    0.0623
   -1.000,     0.000,   0.361722,   0.003763,   0.025508,   0.029272,   0.000000,  -0.000000,  -0.231445,  -0.000000,  -0.000000,   15.0000,    0.0516
    0.000,     0.000,   0.451754,   0.005870,   0.026305,   0.032175,   0.000000,  -0.000000,  -0.253375,  -0.000000,   0.000000,   15.0000,    0.0451
    1.000,     0.000,   0.541566,   0.008436,   0.028111,   0.036547,   0.000000,  -0.000000,  -0.275238,   0.000000,   0.000000,   15.0000,    0.0408
    2.000,     0.000,   0.631107,   0.011456,   0.030741,   0.042197,   0.000000,  -0.000000,  -0.297022,  -0.000000,   0.000000,   15.0000,    0.0378
    3.000,     0.000,   0.720327,   0.014923,   0.034935,   0.049858,   0.000000,  -0.000000,  -0.318726,  -0.000000,  -0.000000,   15.0000,    0.0355
    4.000,     0.000,   0.809175,   0.018829,   0.040164,   0.058993,   0.000000,   0.000000,  -0.340328,  -0.000000,  -0.000000,   15.0000,    0.0337
    5.000,     0.000,   0.897600,   0.023164,   0.045247,   0.068411,   0.000000,   0.000000,  -0.361784,  -0.000000,   0.000000,   15.0000,    0.0323
    6.000,     0.000,   0.985553,   0.027916,   0.051999,   0.079915,   0.000000,   0.000000,  -0.383147,   0.000000,   0.000000,   15.0000,    0.0311


