xflr5 v6.48

Plane name :, Main wing_owl 6%c
Polar name :, v=15 m/s-0.5kg-x0.0m-Inviscid
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.331216,   0.003108,   0.000000,   0.003108,   0.000000,  -0.000000,  -0.097899,   0.000000,   0.000000,   15.0000,   -0.0241
   -9.000,     0.000,  -0.241016,   0.001649,   0.000000,   0.001649,   0.000000,  -0.000000,  -0.119518,  -0.000000,  -0.000000,   15.0000,   -0.0405
   -8.000,     0.000,  -0.150625,   0.000646,   0.000000,   0.000646,   0.000000,  -0.000000,  -0.141287,  -0.000000,  -0.000000,   15.0000,   -0.0766
   -7.000,     0.000,  -0.060096,   0.000105,   0.000000,   0.000105,   0.000000,  -0.000000,  -0.163179,  -0.000000,  -0.000000,   15.0000,   -0.2215
   -6.000,     0.000,   0.030519,   0.000031,   0.000000,   0.000031,   0.000000,  -0.000000,  -0.185166,  -0.000000,  -0.000000,   15.0000,    0.4940
   -5.000,     0.000,   0.121168,   0.000426,   0.000000,   0.000426,  -0.000000,   0.000000,  -0.207223,  -0.000000,  -0.000000,   15.0000,    0.1390
   -4.000,     0.000,   0.211799,   0.001292,   0.000000,   0.001292,  -0.000000,   0.000000,  -0.229322,   0.000000,   0.000000,   15.0000,    0.0878
   -3.000,     0.000,   0.302360,   0.002629,   0.000000,   0.002629,  -0.000000,   0.000000,  -0.251437,   0.000000,   0.000000,   15.0000,    0.0673
   -2.000,     0.000,   0.392799,   0.004435,   0.000000,   0.004435,  -0.000000,   0.000000,  -0.273540,   0.000000,   0.000000,   15.0000,    0.0562
   -1.000,     0.000,   0.483062,   0.006709,   0.000000,   0.006709,  -0.000000,   0.000000,  -0.295604,   0.000000,   0.000000,   15.0000,    0.0493
    0.000,     0.000,   0.573100,   0.009445,   0.000000,   0.009445,  -0.000000,   0.000000,  -0.317604,   0.000000,   0.000000,   15.0000,    0.0446
    1.000,     0.000,   0.662859,   0.012638,   0.000000,   0.012638,  -0.000000,   0.000000,  -0.339511,   0.000000,   0.000000,   15.0000,    0.0412
    2.000,     0.000,   0.752288,   0.016281,   0.000000,   0.016281,  -0.000000,   0.000000,  -0.361299,   0.000000,   0.000000,   15.0000,    0.0385
    3.000,     0.000,   0.841337,   0.020366,   0.000000,   0.020366,   0.000000,   0.000000,  -0.382942,   0.000000,   0.000000,   15.0000,    0.0365
    4.000,     0.000,   0.929956,   0.024882,   0.000000,   0.024882,   0.000000,   0.000000,  -0.404413,  -0.000000,  -0.000000,   15.0000,    0.0348
    5.000,     0.000,   1.018094,   0.029819,   0.000000,   0.029819,   0.000000,   0.000000,  -0.425687,   0.000000,   0.000000,   15.0000,    0.0335
    6.000,     0.000,   1.105704,   0.035165,   0.000000,   0.035165,   0.000000,   0.000000,  -0.446736,  -0.000000,  -0.000000,   15.0000,    0.0323
    7.000,     0.000,   1.192735,   0.040905,   0.000000,   0.040905,   0.000000,   0.000000,  -0.467536,  -0.000000,  -0.000000,   15.0000,    0.0314
    8.000,     0.000,   1.279142,   0.047025,   0.000000,   0.047025,   0.000000,   0.000000,  -0.488062,  -0.000000,  -0.000000,   15.0000,    0.0305
    9.000,     0.000,   1.364877,   0.053508,   0.000000,   0.053508,   0.000000,   0.000000,  -0.508287,  -0.000000,  -0.000000,   15.0000,    0.0298
   10.000,     0.000,   1.449896,   0.060338,   0.000000,   0.060338,   0.000000,   0.000000,  -0.528188,   0.000000,   0.000000,   15.0000,    0.0292


