xflr5 v6.48

Plane name :, Main wing_owl 6%c
Polar name :, v=15.0 m/s-VLM2-0.5kg-x0.0m
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.331216,   0.003108,   0.154700,   0.157808,   0.000000,  -0.000000,  -0.091372,  -0.000000,   0.000000,   15.0000,   -0.0241
   -9.000,     0.000,  -0.241016,   0.001649,   0.084141,   0.085789,   0.000000,  -0.000000,  -0.116311,  -0.000000,  -0.000000,   15.0000,   -0.0405
   -8.000,     0.000,  -0.150625,   0.000646,   0.076855,   0.077501,   0.000000,  -0.000000,  -0.138679,  -0.000000,  -0.000000,   15.0000,   -0.0766
   -7.000,     0.000,  -0.060096,   0.000105,   0.069956,   0.070061,   0.000000,  -0.000000,  -0.161096,  -0.000000,  -0.000000,   15.0000,   -0.2215
   -6.000,     0.000,   0.030519,   0.000031,   0.063816,   0.063847,   0.000000,  -0.000000,  -0.183533,  -0.000000,  -0.000000,   15.0000,    0.4940
   -5.000,     0.000,   0.121168,   0.000426,   0.058165,   0.058591,  -0.000000,   0.000000,  -0.205979,   0.000000,  -0.000000,   15.0000,    0.1390
   -4.000,     0.000,   0.211799,   0.001292,   0.052741,   0.054033,  -0.000000,   0.000000,  -0.228416,   0.000000,   0.000000,   15.0000,    0.0878
   -3.000,     0.000,   0.302360,   0.002629,   0.047631,   0.050260,  -0.000000,   0.000000,  -0.250821,   0.000000,   0.000000,   15.0000,    0.0673
   -2.000,     0.000,   0.392799,   0.004435,   0.043677,   0.048112,  -0.000000,   0.000000,  -0.273162,   0.000000,   0.000000,   15.0000,    0.0562
   -1.000,     0.000,   0.483062,   0.006709,   0.039675,   0.046383,  -0.000000,   0.000000,  -0.295433,   0.000000,   0.000000,   15.0000,    0.0493
   -0.500,     0.000,   0.528113,   0.008019,   0.037606,   0.045626,  -0.000000,   0.000000,  -0.306532,   0.000000,   0.000000,   15.0000,    0.0468
   -0.250,     0.000,   0.550614,   0.008718,   0.036574,   0.045291,  -0.000000,   0.000000,  -0.312072,   0.000000,   0.000000,   15.0000,    0.0456
    0.000,     0.000,   0.573100,   0.009445,   0.035542,   0.044986,  -0.000000,   0.000000,  -0.317604,   0.000000,   0.000000,   15.0000,    0.0446
    0.500,     0.000,   0.618017,   0.010985,   0.033673,   0.044658,  -0.000000,   0.000000,  -0.328644,   0.000000,   0.000000,   15.0000,    0.0427
    1.000,     0.000,   0.662859,   0.012638,   0.032513,   0.045151,  -0.000000,   0.000000,  -0.339652,   0.000000,   0.000000,   15.0000,    0.0412
    2.000,     0.000,   0.752288,   0.016281,   0.031242,   0.047523,  -0.000000,   0.000000,  -0.361571,   0.000000,   0.000000,   15.0000,    0.0385
    3.000,     0.000,   0.841337,   0.020366,   0.031332,   0.051698,   0.000000,   0.000000,  -0.383351,  -0.000000,   0.000000,   15.0000,    0.0365
    4.000,     0.000,   0.929956,   0.024882,   0.032277,   0.057159,   0.000000,   0.000000,  -0.404976,  -0.000000,  -0.000000,   15.0000,    0.0348
    5.000,     0.000,   1.018094,   0.029819,   0.035067,   0.064887,   0.000000,   0.000000,  -0.426466,  -0.000000,   0.000000,   15.0000,    0.0335
    6.000,     0.000,   1.105704,   0.035165,   0.046711,   0.081876,   0.000000,   0.000000,  -0.448111,  -0.000000,  -0.000000,   15.0000,    0.0323
    7.000,     0.000,   1.192735,   0.040905,   0.078571,   0.119476,   0.000000,   0.000000,  -0.470385,  -0.000000,  -0.000000,   15.0000,    0.0314


