xflr5 v6.48

Plane name :, Main wing_owl 6.5%c
Polar name :, v=15 m/s-0.5kg-x0.0m-Inviscid
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.285055,   0.002301,   0.000000,   0.002301,   0.000000,  -0.000000,  -0.123110,   0.000000,   0.000000,   15.0000,   -0.0354
   -9.000,     0.000,  -0.194665,   0.001076,   0.000000,   0.001076,   0.000000,  -0.000000,  -0.144850,  -0.000000,  -0.000000,   15.0000,   -0.0610
   -8.000,     0.000,  -0.104109,   0.000310,   0.000000,   0.000310,   0.000000,  -0.000000,  -0.166733,  -0.000000,  -0.000000,   15.0000,   -0.1310
   -7.000,     0.000,  -0.013436,   0.000009,   0.000000,   0.000009,   0.000000,  -0.000000,  -0.188731,  -0.000000,  -0.000000,   15.0000,   -1.1472
   -6.000,     0.000,   0.077301,   0.000176,   0.000000,   0.000176,   0.000000,  -0.000000,  -0.210819,  -0.000000,  -0.000000,   15.0000,    0.2223
   -5.000,     0.000,   0.168049,   0.000815,   0.000000,   0.000815,  -0.000000,   0.000000,  -0.232969,   0.000000,   0.000000,   15.0000,    0.1127
   -4.000,     0.000,   0.258756,   0.001926,   0.000000,   0.001926,  -0.000000,   0.000000,  -0.255154,   0.000000,   0.000000,   15.0000,    0.0800
   -3.000,     0.000,   0.349371,   0.003508,   0.000000,   0.003508,  -0.000000,   0.000000,  -0.277347,  -0.000000,  -0.000000,   15.0000,    0.0643
   -2.000,     0.000,   0.439840,   0.005560,   0.000000,   0.005560,  -0.000000,   0.000000,  -0.299521,   0.000000,   0.000000,   15.0000,    0.0550
   -1.000,     0.000,   0.530111,   0.008078,   0.000000,   0.008078,  -0.000000,   0.000000,  -0.321650,   0.000000,   0.000000,   15.0000,    0.0489
    0.000,     0.000,   0.620133,   0.011059,   0.000000,   0.011059,  -0.000000,   0.000000,  -0.343706,   0.000000,   0.000000,   15.0000,    0.0446
    1.000,     0.000,   0.709854,   0.014494,   0.000000,   0.014494,  -0.000000,   0.000000,  -0.365662,   0.000000,   0.000000,   15.0000,    0.0414
    2.000,     0.000,   0.799222,   0.018378,   0.000000,   0.018378,  -0.000000,   0.000000,  -0.387492,   0.000000,   0.000000,   15.0000,    0.0389
    3.000,     0.000,   0.888188,   0.022701,   0.000000,   0.022701,  -0.000000,   0.000000,  -0.409168,  -0.000000,  -0.000000,   15.0000,    0.0369
    4.000,     0.000,   0.976701,   0.027452,   0.000000,   0.027452,  -0.000000,   0.000000,  -0.430665,  -0.000000,  -0.000000,   15.0000,    0.0353
    5.000,     0.000,   1.064710,   0.032621,   0.000000,   0.032621,  -0.000000,   0.000000,  -0.451957,   0.000000,   0.000000,   15.0000,    0.0340
    6.000,     0.000,   1.152169,   0.038194,   0.000000,   0.038194,  -0.000000,   0.000000,  -0.473017,  -0.000000,  -0.000000,   15.0000,    0.0328
    7.000,     0.000,   1.239028,   0.044158,   0.000000,   0.044158,  -0.000000,   0.000000,  -0.493820,   0.000000,   0.000000,   15.0000,    0.0319
    8.000,     0.000,   1.325240,   0.050496,   0.000000,   0.050496,  -0.000000,   0.000000,  -0.514340,  -0.000000,  -0.000000,   15.0000,    0.0310
    9.000,     0.000,   1.410760,   0.057192,   0.000000,   0.057192,  -0.000000,   0.000000,  -0.534553,  -0.000000,  -0.000000,   15.0000,    0.0303
   10.000,     0.000,   1.495542,   0.064229,   0.000000,   0.064229,  -0.000000,   0.000000,  -0.554434,   0.000000,   0.000000,   15.0000,    0.0297


