xflr5 v6.48

Plane name :, Main wing_owl 6.5%c
Polar name :, v=15 m/s-0.5kg-x0.0m-Viscous
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.285055,   0.002301,   0.118169,   0.120470,   0.000000,  -0.000000,  -0.117938,  -0.000000,   0.000000,   15.0000,   -0.0354
   -9.000,     0.000,  -0.194665,   0.001076,   0.085984,   0.087060,   0.000000,  -0.000000,  -0.141574,  -0.000000,  -0.000000,   15.0000,   -0.0610
   -8.000,     0.000,  -0.104109,   0.000310,   0.078415,   0.078725,   0.000000,  -0.000000,  -0.164071,  -0.000000,  -0.000000,   15.0000,   -0.1310
   -7.000,     0.000,  -0.013436,   0.000009,   0.070992,   0.071000,   0.000000,  -0.000000,  -0.186617,  -0.000000,  -0.000000,   15.0000,   -1.1472
   -6.000,     0.000,   0.077301,   0.000176,   0.063866,   0.064042,   0.000000,  -0.000000,  -0.209186,  -0.000000,  -0.000000,   15.0000,    0.2223
   -5.000,     0.000,   0.168049,   0.000815,   0.056929,   0.057744,  -0.000000,   0.000000,  -0.231755,   0.000000,   0.000000,   15.0000,    0.1127
   -4.000,     0.000,   0.258756,   0.001926,   0.050882,   0.052808,  -0.000000,   0.000000,  -0.254286,   0.000000,   0.000000,   15.0000,    0.0800
   -3.000,     0.000,   0.349371,   0.003508,   0.046405,   0.049913,  -0.000000,   0.000000,  -0.276755,   0.000000,  -0.000000,   15.0000,    0.0643
   -2.000,     0.000,   0.439840,   0.005560,   0.043079,   0.048639,  -0.000000,   0.000000,  -0.299154,   0.000000,   0.000000,   15.0000,    0.0550
   -1.000,     0.000,   0.530111,   0.008078,   0.039893,   0.047971,  -0.000000,   0.000000,  -0.321479,   0.000000,   0.000000,   15.0000,    0.0489
    0.000,     0.000,   0.620133,   0.011059,   0.036718,   0.047777,  -0.000000,   0.000000,  -0.343706,   0.000000,   0.000000,   15.0000,    0.0446
    1.000,     0.000,   0.709854,   0.014494,   0.034623,   0.049117,  -0.000000,   0.000000,  -0.365811,   0.000000,   0.000000,   15.0000,    0.0414
    2.000,     0.000,   0.799222,   0.018378,   0.032833,   0.051211,  -0.000000,   0.000000,  -0.387775,   0.000000,   0.000000,   15.0000,    0.0389
    3.000,     0.000,   0.888188,   0.022701,   0.031916,   0.054617,  -0.000000,   0.000000,  -0.409584,   0.000000,  -0.000000,   15.0000,    0.0369
    4.000,     0.000,   0.976701,   0.027452,   0.032557,   0.060010,  -0.000000,   0.000000,  -0.431233,  -0.000000,  -0.000000,   15.0000,    0.0353
    5.000,     0.000,   1.064710,   0.032621,   0.035255,   0.067876,  -0.000000,   0.000000,  -0.452742,  -0.000000,   0.000000,   15.0000,    0.0340
    6.000,     0.000,   1.152169,   0.038194,   0.056199,   0.094393,  -0.000000,   0.000000,  -0.474738,  -0.000000,  -0.000000,   15.0000,    0.0328
    7.000,     0.000,   1.239028,   0.044158,   0.073259,   0.117417,  -0.000000,   0.000000,  -0.496465,  -0.000000,   0.000000,   15.0000,    0.0319


