xflr5 v6.48

Plane name :, Main wing_owl
Polar name :, v=15 m/s-0.5kg-x0.0m-Inviscid
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,   0.154665,   0.000694,   0.000000,   0.000694,   0.000000,  -0.000000,  -0.360947,  -0.000000,  -0.000000,   15.0000,    0.1949
   -9.000,     0.000,   0.246757,   0.001745,   0.000000,   0.001745,   0.000000,  -0.000000,  -0.384055,  -0.000000,  -0.000000,   15.0000,    0.1294
   -8.000,     0.000,   0.338806,   0.003281,   0.000000,   0.003281,   0.000000,  -0.000000,  -0.407245,   0.000000,   0.000000,   15.0000,    0.0996
   -7.000,     0.000,   0.430755,   0.005301,   0.000000,   0.005301,   0.000000,  -0.000000,  -0.430490,  -0.000000,  -0.000000,   15.0000,    0.0825
   -6.000,     0.000,   0.522554,   0.007805,   0.000000,   0.007805,   0.000000,  -0.000000,  -0.453761,  -0.000000,  -0.000000,   15.0000,    0.0714
   -5.000,     0.000,   0.614147,   0.010791,   0.000000,   0.010791,   0.000000,  -0.000000,  -0.477030,  -0.000000,  -0.000000,   15.0000,    0.0636
   -4.000,     0.000,   0.705482,   0.014254,   0.000000,   0.014254,   0.000000,  -0.000000,  -0.500268,   0.000000,   0.000000,   15.0000,    0.0578
   -3.000,     0.000,   0.796506,   0.018189,   0.000000,   0.018189,   0.000000,  -0.000000,  -0.523447,   0.000000,   0.000000,   15.0000,    0.0534
   -2.000,     0.000,   0.887167,   0.022589,   0.000000,   0.022589,   0.000000,  -0.000000,  -0.546539,   0.000000,   0.000000,   15.0000,    0.0499
   -1.000,     0.000,   0.977411,   0.027446,   0.000000,   0.027446,   0.000000,  -0.000000,  -0.569516,  -0.000000,  -0.000000,   15.0000,    0.0470
    0.000,     0.000,   1.067189,   0.032749,   0.000000,   0.032749,   0.000000,  -0.000000,  -0.592349,  -0.000000,  -0.000000,   15.0000,    0.0447
    1.000,     0.000,   1.156449,   0.038489,   0.000000,   0.038489,   0.000000,  -0.000000,  -0.615012,  -0.000000,  -0.000000,   15.0000,    0.0427
    2.000,     0.000,   1.245140,   0.044652,   0.000000,   0.044652,   0.000000,  -0.000000,  -0.637476,   0.000000,   0.000000,   15.0000,    0.0410
    3.000,     0.000,   1.333213,   0.051225,   0.000000,   0.051225,   0.000000,  -0.000000,  -0.659713,  -0.000000,  -0.000000,   15.0000,    0.0395
    4.000,     0.000,   1.420620,   0.058192,   0.000000,   0.058192,   0.000000,  -0.000000,  -0.681698,   0.000000,   0.000000,   15.0000,    0.0382
    5.000,     0.000,   1.507312,   0.065538,   0.000000,   0.065538,   0.000000,  -0.000000,  -0.703402,   0.000000,   0.000000,   15.0000,    0.0371
    6.000,     0.000,   1.593244,   0.073244,   0.000000,   0.073244,   0.000000,  -0.000000,  -0.724800,  -0.000000,  -0.000000,   15.0000,    0.0361
    7.000,     0.000,   1.678368,   0.081292,   0.000000,   0.081292,   0.000000,  -0.000000,  -0.745866,  -0.000000,  -0.000000,   15.0000,    0.0352
    8.000,     0.000,   1.762642,   0.089663,   0.000000,   0.089663,   0.000000,  -0.000000,  -0.766574,   0.000000,   0.000000,   15.0000,    0.0344
    9.000,     0.000,   1.846021,   0.098335,   0.000000,   0.098335,   0.000000,  -0.000000,  -0.786898,   0.000000,   0.000000,   15.0000,    0.0337
   10.000,     0.000,   1.928463,   0.107287,   0.000000,   0.107287,   0.000000,  -0.000000,  -0.806814,  -0.000000,  -0.000000,   15.0000,    0.0331


