xflr5 v6.48

Plane name :, Main wing_owl
Polar name :, v=15 m/s-0.5kg-x0.0m-Viscous
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,   0.154665,   0.000694,   0.100428,   0.101122,   0.000000,  -0.000000,  -0.356676,  -0.000000,  -0.000000,   15.0000,    0.1949
   -9.000,     0.000,   0.246757,   0.001745,   0.088689,   0.090434,   0.000000,  -0.000000,  -0.380635,  -0.000000,  -0.000000,   15.0000,    0.1294
   -8.000,     0.000,   0.338806,   0.003281,   0.079894,   0.083175,   0.000000,  -0.000000,  -0.404478,  -0.000000,   0.000000,   15.0000,    0.0996
   -7.000,     0.000,   0.430755,   0.005301,   0.073251,   0.078552,   0.000000,  -0.000000,  -0.428241,  -0.000000,  -0.000000,   15.0000,    0.0825
   -6.000,     0.000,   0.522554,   0.007805,   0.068302,   0.076107,   0.000000,  -0.000000,  -0.451941,  -0.000000,  -0.000000,   15.0000,    0.0714
   -5.000,     0.000,   0.614147,   0.010791,   0.066043,   0.076834,   0.000000,  -0.000000,  -0.475552,  -0.000000,  -0.000000,   15.0000,    0.0636
   -4.000,     0.000,   0.705482,   0.014254,   0.063893,   0.078148,   0.000000,  -0.000000,  -0.499115,  -0.000000,   0.000000,   15.0000,    0.0578
   -3.000,     0.000,   0.796506,   0.018189,   0.061877,   0.080066,   0.000000,  -0.000000,  -0.522603,  -0.000000,   0.000000,   15.0000,    0.0534
   -2.000,     0.000,   0.887167,   0.022589,   0.060040,   0.082629,   0.000000,  -0.000000,  -0.545989,  -0.000000,   0.000000,   15.0000,    0.0499
   -1.000,     0.000,   0.977411,   0.027446,   0.058212,   0.085658,   0.000000,  -0.000000,  -0.569247,  -0.000000,  -0.000000,   15.0000,    0.0470
    0.000,     0.000,   1.067189,   0.032749,   0.060921,   0.093671,   0.000000,  -0.000000,  -0.592349,  -0.000000,  -0.000000,   15.0000,    0.0447
    1.000,     0.000,   1.156449,   0.038489,   0.060292,   0.098781,   0.000000,  -0.000000,  -0.615304,  -0.000000,  -0.000000,   15.0000,    0.0427
    2.000,     0.000,   1.245140,   0.044652,   0.059804,   0.104456,   0.000000,  -0.000000,  -0.638063,  -0.000000,   0.000000,   15.0000,    0.0410
    3.000,     0.000,   1.333213,   0.051225,   0.059715,   0.110940,   0.000000,  -0.000000,  -0.660605,  -0.000000,  -0.000000,   15.0000,    0.0395
    4.000,     0.000,   1.420620,   0.058192,   0.059905,   0.118097,   0.000000,  -0.000000,  -0.682909,  -0.000000,   0.000000,   15.0000,    0.0382


