xflr5 v6.48

Plane name :, Main wing_s1223
Polar name :, v=15 m/s-0.5kg-x0.0m-Inviscid
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,   0.198623,   0.001139,   0.000000,   0.001139,  -0.000000,   0.000000,  -0.393879,  -0.000000,  -0.000000,   15.0000,    0.1643
   -9.000,     0.000,   0.290251,   0.002413,   0.000000,   0.002413,  -0.000000,   0.000000,  -0.417017,  -0.000000,  -0.000000,   15.0000,    0.1186
   -8.000,     0.000,   0.381811,   0.004167,   0.000000,   0.004167,  -0.000000,   0.000000,  -0.440178,  -0.000000,  -0.000000,   15.0000,    0.0949
   -7.000,     0.000,   0.473253,   0.006400,   0.000000,   0.006400,  -0.000000,   0.000000,  -0.463335,  -0.000000,  -0.000000,   15.0000,    0.0803
   -6.000,     0.000,   0.564521,   0.009112,   0.000000,   0.009112,  -0.000000,   0.000000,  -0.486459,  -0.000000,  -0.000000,   15.0000,    0.0705
   -5.000,     0.000,   0.655563,   0.012299,   0.000000,   0.012299,  -0.000000,   0.000000,  -0.509523,  -0.000000,  -0.000000,   15.0000,    0.0634
   -4.000,     0.000,   0.746328,   0.015957,   0.000000,   0.015957,  -0.000000,   0.000000,  -0.532498,  -0.000000,  -0.000000,   15.0000,    0.0580
   -3.000,     0.000,   0.836761,   0.020080,   0.000000,   0.020080,  -0.000000,   0.000000,  -0.555356,  -0.000000,  -0.000000,   15.0000,    0.0538
   -2.000,     0.000,   0.926812,   0.024661,   0.000000,   0.024661,  -0.000000,   0.000000,  -0.578070,   0.000000,   0.000000,   15.0000,    0.0504
   -1.000,     0.000,   1.016428,   0.029690,   0.000000,   0.029690,  -0.000000,   0.000000,  -0.600611,  -0.000000,  -0.000000,   15.0000,    0.0477
    0.000,     0.000,   1.105559,   0.035158,   0.000000,   0.035158,  -0.000000,   0.000000,  -0.622952,  -0.000000,  -0.000000,   15.0000,    0.0453
    1.000,     0.000,   1.194155,   0.041054,   0.000000,   0.041054,  -0.000000,   0.000000,  -0.645067,  -0.000000,  -0.000000,   15.0000,    0.0434
    2.000,     0.000,   1.282165,   0.047364,   0.000000,   0.047364,  -0.000000,   0.000000,  -0.666927,   0.000000,   0.000000,   15.0000,    0.0417
    3.000,     0.000,   1.369541,   0.054074,   0.000000,   0.054074,  -0.000000,   0.000000,  -0.688507,  -0.000000,  -0.000000,   15.0000,    0.0402
    4.000,     0.000,   1.456235,   0.061170,   0.000000,   0.061170,  -0.000000,   0.000000,  -0.709780,   0.000000,   0.000000,   15.0000,    0.0390
    5.000,     0.000,   1.542200,   0.068634,   0.000000,   0.068634,  -0.000000,   0.000000,  -0.730720,   0.000000,   0.000000,   15.0000,    0.0378
    6.000,     0.000,   1.627390,   0.076449,   0.000000,   0.076449,  -0.000000,   0.000000,  -0.751302,   0.000000,   0.000000,   15.0000,    0.0368
    7.000,     0.000,   1.711760,   0.084595,   0.000000,   0.084595,  -0.000000,   0.000000,  -0.771500,  -0.000000,  -0.000000,   15.0000,    0.0359
    8.000,     0.000,   1.795265,   0.093054,   0.000000,   0.093054,  -0.000000,   0.000000,  -0.791291,  -0.000000,  -0.000000,   15.0000,    0.0351
    9.000,     0.000,   1.877864,   0.101803,   0.000000,   0.101803,  -0.000000,   0.000000,  -0.810649,   0.000000,   0.000000,   15.0000,    0.0344
   10.000,     0.000,   1.959515,   0.110822,   0.000000,   0.110822,  -0.000000,   0.000000,  -0.829552,   0.000000,   0.000000,   15.0000,    0.0337


