xflr5 v6.48

Plane name :, Main wing_s1223
Polar name :, v=15 m/s-0.5kg-x0.0m-Viscous
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,   0.198623,   0.001139,   0.080921,   0.082061,  -0.000000,   0.000000,  -0.390312,   0.000000,  -0.000000,   15.0000,    0.1643
   -9.000,     0.000,   0.290251,   0.002413,   0.071904,   0.074318,  -0.000000,   0.000000,  -0.414134,  -0.000000,  -0.000000,   15.0000,    0.1186
   -8.000,     0.000,   0.381811,   0.004167,   0.064922,   0.069089,  -0.000000,   0.000000,  -0.437838,   0.000000,  -0.000000,   15.0000,    0.0949
   -7.000,     0.000,   0.473253,   0.006400,   0.058665,   0.065066,  -0.000000,   0.000000,  -0.461458,  -0.000000,  -0.000000,   15.0000,    0.0803
   -6.000,     0.000,   0.564521,   0.009112,   0.053718,   0.062830,  -0.000000,   0.000000,  -0.484965,   0.000000,  -0.000000,   15.0000,    0.0705
   -5.000,     0.000,   0.655563,   0.012299,   0.048896,   0.061196,  -0.000000,   0.000000,  -0.508370,  -0.000000,  -0.000000,   15.0000,    0.0634
   -4.000,     0.000,   0.746328,   0.015957,   0.044156,   0.060113,  -0.000000,   0.000000,  -0.531646,   0.000000,  -0.000000,   15.0000,    0.0580
   -3.000,     0.000,   0.836761,   0.020080,   0.040767,   0.060847,  -0.000000,   0.000000,  -0.554749,   0.000000,  -0.000000,   15.0000,    0.0538
   -2.000,     0.000,   0.926812,   0.024661,   0.037769,   0.062430,  -0.000000,   0.000000,  -0.577676,   0.000000,   0.000000,   15.0000,    0.0504
   -1.000,     0.000,   1.016428,   0.029690,   0.035434,   0.065124,  -0.000000,   0.000000,  -0.600401,  -0.000000,  -0.000000,   15.0000,    0.0477
    0.000,     0.000,   1.105559,   0.035158,   0.033310,   0.068468,  -0.000000,   0.000000,  -0.622911,  -0.000000,  -0.000000,   15.0000,    0.0453
    1.000,     0.000,   1.194155,   0.041054,   0.032599,   0.073653,  -0.000000,   0.000000,  -0.645184,  -0.000000,  -0.000000,   15.0000,    0.0434
    2.000,     0.000,   1.282165,   0.047364,   0.035468,   0.082831,  -0.000000,   0.000000,  -0.667234,  -0.000000,   0.000000,   15.0000,    0.0417
    3.000,     0.000,   1.369541,   0.054074,   0.041022,   0.095096,  -0.000000,   0.000000,  -0.689083,  -0.000000,  -0.000000,   15.0000,    0.0402


