xflr5 v6.48

 Calculated polar for: OWL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-24.000,-0.4434, 0.24842, 0.24427,-0.0031,1.0000,0.0178,-2.4324, 0.0000, 0.2076
-21.000,-0.2839, 0.24054, 0.23716,-0.0121,1.0000,0.0209,-0.9448, 0.0000, 0.1820
-20.000,-0.2765, 0.23693, 0.23357,-0.0124,1.0000,0.0223,-0.9438, 0.0000, 0.1798
-19.000,-0.2706, 0.23303, 0.22969,-0.0126,1.0000,0.0238,-0.9623, 0.0000, 0.1775
-18.000,-0.2660, 0.22800, 0.22466,-0.0133,1.0000,0.0246,-1.0511, 0.0000, 0.1738
-17.000,-0.2611, 0.22130, 0.21800,-0.0133,1.0000,0.0249,-1.0909, 0.0000, 0.1725
-16.000,-0.2531, 0.21425, 0.21098,-0.0125,1.0000,0.0260,-1.0459, 0.0000, 0.1740
-15.000,-0.2464, 0.20697, 0.20374,-0.0121,1.0000,0.0277,-1.0474, 0.0000, 0.1745
-14.000,-0.2411, 0.19922, 0.19603,-0.0120,1.0000,0.0292,-1.1112, 0.0000, 0.1740
-13.000,-0.2383, 0.19123, 0.18810,-0.0119,1.0000,0.0296,-1.1985, 0.0000, 0.1744
-11.000,-0.1893, 0.15936, 0.15609,-0.0245,0.9868,0.0336,-1.2085, 0.0000, 0.0837
-10.000,-0.0661, 0.14371, 0.14033,-0.0513,0.9509,0.0353,-1.1389, 0.0000,-0.6368
 -9.000, 0.0020, 0.13313, 0.12973,-0.0648,0.9312,0.0389,-1.1657, 0.0000,35.9153
 -8.000, 0.0721, 0.12126, 0.11787,-0.0740,0.9127,0.0412,-1.0341, 0.0000, 1.3667
 -7.000, 0.1263, 0.11095, 0.10760,-0.0818,0.8942,0.0443,-1.0616, 0.0000, 0.9440
 -6.000, 0.1694, 0.10210, 0.09878,-0.0869,0.8723,0.0484,-1.0784, 0.0000, 0.7928
 -5.000, 0.2022, 0.09294, 0.08970,-0.0851,0.8443,0.0517,-0.9828, 0.0000, 0.6905
 -4.000, 0.2634, 0.08151, 0.07827,-0.0915,0.8216,0.0564,-0.9585, 0.0000, 0.6088
 -3.000, 0.3217, 0.07045, 0.06722,-0.0969,0.7852,0.0622,-0.9932, 0.0000, 0.5572
 -2.000, 0.4226, 0.05826, 0.05479,-0.1084,0.7045,0.0694,-1.0935, 0.0000, 0.5081
 -1.000, 0.6193, 0.04625, 0.04117,-0.1394,0.5459,0.0836,-1.2598, 0.0000, 0.4739
  2.000, 1.1854, 0.02861, 0.02099,-0.2114,0.4214,0.1452,-1.8102, 0.0000, 0.4212
  3.000, 1.3746, 0.02410, 0.01486,-0.2295,0.3989,0.1629,-2.0217, 0.0000, 0.4079
  5.000, 1.5804, 0.02635, 0.01672,-0.2268,0.3666,0.2272,-2.3478, 0.0000, 0.3806
  6.000, 1.6858, 0.02788, 0.01811,-0.2262,0.3529,0.2670,-2.5245, 0.0000, 0.3693
  7.000, 1.7666, 0.02948, 0.01995,-0.2213,0.3406,0.3078,-2.6807, 0.0000, 0.3584
  8.000, 1.8544, 0.03158, 0.02223,-0.2180,0.3295,0.3652,-2.8488, 0.0000, 0.3486
  9.000, 1.9494, 0.03313, 0.02426,-0.2163,0.3189,1.0000,-3.0347, 0.0000, 0.3399
 10.000, 2.0023, 0.03625, 0.02768,-0.2077,0.3094,1.0000,-3.1709, 0.0000, 0.3305
 11.000, 2.0973, 0.03905, 0.03037,-0.2065,0.3001,1.0000,-3.3704, 0.0000, 0.3229
 13.000, 2.2076, 0.04553, 0.03740,-0.1926,0.2848,1.0000,-3.6825, 0.0000, 0.3069
 14.000, 2.2530, 0.04982, 0.04206,-0.1855,0.2773,1.0000,-3.8307, 0.0000, 0.2995
 15.000, 2.2783, 0.05555, 0.04827,-0.1770,0.2701,1.0000,-3.9513, 0.0000, 0.2923
 16.000, 2.2942, 0.06220, 0.05541,-0.1689,0.2630,1.0000,-4.0596, 0.0000, 0.2855
 17.000, 2.2599, 0.07292, 0.06683,-0.1593,0.2559,1.0000,-4.0814, 0.0000, 0.2795
 18.000, 2.1972, 0.08750, 0.08209,-0.1530,0.2485,1.0000,-4.1586, 0.0000, 0.2757
 22.000, 1.5083, 0.24305, 0.23921,-0.2423,0.1772,1.0000,-3.1871, 0.0000, 0.3618
 23.000, 1.2739, 0.35082, 0.34874,-0.2446,0.1081,1.0000,-1.8590, 0.0000, 0.3888


