xflr5 v6.48

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-22.000,-0.4713, 0.27181, 0.26753, 0.0039,1.0000,0.0169,-1.2130, 0.0000, 0.2357
-21.000,-0.4464, 0.26168, 0.25743,-0.0009,1.0000,0.0169,-1.2491, 0.0000, 0.2257
-20.000,-0.4221, 0.25247, 0.24827,-0.0056,1.0000,0.0170,-1.3099, 0.0000, 0.2148
-19.000,-0.4000, 0.24443, 0.24027,-0.0101,1.0000,0.0171,-1.4184, 0.0000, 0.2032
-13.000,-0.2534, 0.17361, 0.16982,-0.0196,1.0000,0.0209,-1.0653, 0.0000, 0.1508
-12.000,-0.2350, 0.16481, 0.16114,-0.0196,1.0000,0.0215,-1.0544, 0.0000, 0.1451
-11.000,-0.2197, 0.15649, 0.15295,-0.0189,1.0000,0.0223,-1.0476, 0.0000, 0.1432
-10.000,-0.2083, 0.14868, 0.14528,-0.0174,1.0000,0.0232,-1.0471, 0.0000, 0.1470
 -9.000,-0.1378, 0.13582, 0.13241,-0.0320,0.9897,0.0249,-1.0195, 0.0000,-0.0114
 -8.000,-0.0618, 0.12254, 0.11913,-0.0477,0.9737,0.0273,-1.0115, 0.0000,-0.5846
 -7.000, 0.0059, 0.11233, 0.10896,-0.0642,0.9506,0.0294,-1.0878, 0.0000,11.7329
 -6.000, 0.0828, 0.09999, 0.09664,-0.0794,0.9269,0.0299,-1.1017, 0.0000, 1.2480
 -5.000, 0.1253, 0.08467, 0.08140,-0.0847,0.8870,0.0313,-1.1735, 0.0000, 0.9472
 -4.000, 0.2010, 0.07180, 0.06852,-0.0894,0.8285,0.0354,-0.9462, 0.0000, 0.7046
 -3.000, 0.4398, 0.05341, 0.04897,-0.1462,0.6682,0.0462,-0.9755, 0.0000, 0.5858
 -2.000, 0.5268, 0.04263, 0.03751,-0.1559,0.5752,0.0578,-1.0440, 0.0000, 0.5470
 -1.000, 1.0137, 0.01851, 0.01012,-0.2589,0.5113,0.0539,-1.3396, 0.0000, 0.5047
  0.000, 1.1772, 0.01808, 0.00904,-0.2689,0.4794,0.0729,-1.4841, 0.0000, 0.4761
  1.000, 1.3044, 0.01945, 0.01073,-0.2719,0.4562,0.3760,-1.6217, 0.0000, 0.4544
  2.000, 1.4253, 0.02041, 0.01179,-0.2735,0.4425,0.4412,-1.7565, 0.0000, 0.4362
  4.000, 1.6433, 0.02308, 0.01502,-0.2719,0.4151,1.0000,-2.0204, 0.0000, 0.4064
  5.000, 1.7458, 0.02479, 0.01687,-0.2701,0.4056,1.0000,-2.1665, 0.0000, 0.3939
  6.000, 1.8452, 0.02657, 0.01864,-0.2678,0.3939,1.0000,-2.3391, 0.0000, 0.3825
  7.000, 1.9451, 0.02973, 0.02185,-0.2663,0.3805,1.0000,-2.5379, 0.0000, 0.3723
  8.000, 2.0214, 0.03133, 0.02398,-0.2596,0.3688,1.0000,-2.7881, 0.0000, 0.3619
  9.000, 2.1024, 0.03300, 0.02576,-0.2540,0.3554,1.0000,-3.1195, 0.0000, 0.3522
 10.000, 2.1571, 0.03583, 0.02911,-0.2440,0.3405,1.0000,-3.4131, 0.0000, 0.3424
 11.000, 2.1909, 0.03709, 0.03060,-0.2298,0.3234,1.0000,-3.6832, 0.0000, 0.3320
 12.000, 2.2143, 0.04058, 0.03454,-0.2157,0.3067,1.0000,-3.9584, 0.0000, 0.3223
 13.000, 2.2314, 0.04422, 0.03851,-0.2022,0.2885,1.0000,-4.2381, 0.0000, 0.3131
 14.000, 2.2201, 0.05121, 0.04620,-0.1884,0.2681,1.0000,-4.4488, 0.0000, 0.3048
 15.000, 2.1983, 0.06166, 0.05706,-0.1786,0.2419,1.0000,-4.6266, 0.0000, 0.2985


