xflr5 v6.48

 Calculated polar for: owl_6.5%camber

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-25.000,-0.6187, 0.25400, 0.24946, 0.0196,1.0000,0.0250,-2.5493, 0.0000, 0.2562
-24.000,-0.5902, 0.24649, 0.24197, 0.0148,1.0000,0.0265,-2.3709, 0.0000, 0.2509
-23.000,-0.5631, 0.23850, 0.23400, 0.0096,1.0000,0.0289,-2.1847, 0.0000, 0.2438
-22.000,-0.5386, 0.23009, 0.22562, 0.0042,1.0000,0.0297,-1.9916, 0.0000, 0.2350
-21.000,-0.5101, 0.22229, 0.21787, 0.0011,1.0000,0.0314,-1.8301, 0.0000, 0.2304
-20.000,-0.4857, 0.21411, 0.20972,-0.0031,1.0000,0.0340,-1.6579, 0.0000, 0.2223
-19.000,-0.4607, 0.20557, 0.20124,-0.0058,1.0000,0.0350,-1.4942, 0.0000, 0.2168
-18.000,-0.4357, 0.19772, 0.19345,-0.0079,1.0000,0.0376,-1.3945, 0.0000, 0.2119
-17.000,-0.4147, 0.18907, 0.18487,-0.0104,1.0000,0.0396,-1.4282, 0.0000, 0.2057
-16.000,-0.3914, 0.18119, 0.17705,-0.0113,1.0000,0.0425,-1.3761, 0.0000, 0.2024
-15.000,-0.3723, 0.17263, 0.16857,-0.0125,1.0000,0.0447,-1.3923, 0.0000, 0.1984
-14.000,-0.3585, 0.16467, 0.16069,-0.0143,1.0000,0.0484,-1.4594, 0.0000, 0.1928
-13.000,-0.3346, 0.15621, 0.15233,-0.0128,1.0000,0.0511,-1.3554, 0.0000, 0.1952
-12.000,-0.3206, 0.14754, 0.14375,-0.0129,1.0000,0.0542,-1.3911, 0.0000, 0.1940
-11.000,-0.3103, 0.13909, 0.13541,-0.0130,1.0000,0.0583,-1.4280, 0.0000, 0.1934
 -9.000,-0.2817, 0.12592, 0.12251,-0.0109,1.0000,0.0673,-1.4078, 0.0000, 0.1995
 -8.000,-0.2807, 0.11473, 0.11141,-0.0078,1.0000,0.0714,-1.3967, 0.0000, 0.2114
 -7.000,-0.2426, 0.10361, 0.10036,-0.0175,0.9898,0.0773,-1.4270, 0.0000, 0.1669
 -6.000,-0.1731, 0.09112, 0.08788,-0.0371,0.9653,0.0864,-1.4464, 0.0000, 0.0215
 -5.000,-0.0782, 0.07664, 0.07339,-0.0538,0.9347,0.0962,-1.3400, 0.0000,-0.4639
 -4.000, 0.0560, 0.06071, 0.05737,-0.0779,0.8983,0.1105,-1.2262, 0.0000, 1.6694
 -2.000, 0.4647, 0.01918, 0.01078,-0.1523,0.4604,0.1369,-1.2712, 0.0000, 0.5788
 -1.000, 0.5728, 0.01880, 0.00978,-0.1507,0.4178,0.1562,-1.1085, 0.0000, 0.5120
  0.000, 0.6830, 0.01888, 0.00937,-0.1493,0.3881,0.1777,-1.2554, 0.0000, 0.4659
  1.000, 0.7918, 0.01909, 0.00938,-0.1474,0.3639,0.2013,-1.4096, 0.0000, 0.4321
  2.000, 0.9003, 0.01957, 0.00973,-0.1455,0.3436,0.2273,-1.5739, 0.0000, 0.4063
  3.000, 1.0077, 0.02027, 0.01035,-0.1436,0.3260,0.2567,-1.7462, 0.0000, 0.3858
  4.000, 1.1134, 0.02119, 0.01135,-0.1414,0.3103,0.2895,-1.9276, 0.0000, 0.3690
  5.000, 1.2190, 0.02222, 0.01239,-0.1394,0.2962,0.3299,-2.1212, 0.0000, 0.3549
  6.000, 1.3205, 0.02311, 0.01344,-0.1367,0.2840,0.3852,-2.3214, 0.0000, 0.3426
  7.000, 1.4198, 0.02351, 0.01474,-0.1337,0.2724,1.0000,-2.5312, 0.0000, 0.3318
  8.000, 1.5175, 0.02538, 0.01650,-0.1306,0.2612,1.0000,-2.7502, 0.0000, 0.3221
  9.000, 1.6083, 0.02746, 0.01870,-0.1266,0.2502,1.0000,-2.9729, 0.0000, 0.3131
 10.000, 1.6949, 0.02970, 0.02111,-0.1222,0.2401,1.0000,-3.2051, 0.0000, 0.3047
 11.000, 1.7745, 0.03216, 0.02382,-0.1169,0.2304,1.0000,-3.4416, 0.0000, 0.2966
 12.000, 1.8438, 0.03490, 0.02687,-0.1103,0.2211,1.0000,-3.6806, 0.0000, 0.2887
 13.000, 1.8989, 0.03792, 0.03026,-0.1019,0.2123,1.0000,-3.9163, 0.0000, 0.2806
 14.000, 1.9388, 0.04100, 0.03366,-0.0916,0.2042,1.0000,-4.1610, 0.0000, 0.2722
 15.000, 1.9601, 0.04485, 0.03792,-0.0802,0.1962,1.0000,-4.4922, 0.0000, 0.2638
 16.000, 1.9391, 0.05145, 0.04515,-0.0673,0.1885,1.0000,-4.7256, 0.0000, 0.2555
 17.000, 1.9324, 0.05863, 0.05274,-0.0596,0.1806,1.0000,-5.0149, 0.0000, 0.2492


